id_num,tender_id,tender_link,legal_entity,tender_title,purchase_stage,published_date,submission_deadline,purchase_class,initial_max_price,tektorg_link
600413,РН01102674,http://zakupki.rosneft.ru/node/600413,"АО ""РНПК""",Выполнение комплекса работ во время остановочного капитального ремонта в 2021 году на блоке подготовки сырья и адсорбции установки производства водорода цеха №2 (по вторичным процессам),Запрос оферт,09.11.2020 - 14:38,27.11.2020 - 12:00,строительно-монтажные работы,0.00 руб.,Not specified
600831,32009664951,http://zakupki.rosneft.ru/node/600831,"ООО ""ССК""Звезда""","Поставка новогодних наборов, согласно Технического задания № 656/20-ЗП(МСП)",Запрос предложений,11.11.2020 - 02:37,26.11.2020 - 10:00,поставка материально-технических ресурсов,367455,https://msp.roseltorg.ru
600832,№338/20-ЗЦ,http://zakupki.rosneft.ru/node/600832,"АО ""Центр судоремонта Дальзавод""","Выполнение проектных работ по модернизации плавучих доков ДОК №10, Рег. №723348, и ПД-85, Рег. №887957",Запрос цен,11.11.2020 - 02:42,18.12.2020 - 10:00,строительно-монтажные работы,600000,https://www.fabrikant.ru/trades/osk/PriceRequest/?action=view&id=25118#lot_1
600837,2000371052,http://zakupki.rosneft.ru/node/600837,"ООО ""РН-Морской терминал Находка""",Поставка комплектующих к страховочной системе_2021,Запрос оферт,11.11.2020 - 04:27,25.11.2020 - 23:59,поставка материально-технических ресурсов,1 275 446.75 руб.,Not specified
600839,32009664997,http://zakupki.rosneft.ru/node/600839,"ООО ""ССК""Звезда""","Поставка мебели металлической хозяйственного назначения, согласно технического задания № 657/20-ЗП(МСП)",Запрос предложений,11.11.2020 - 04:32,27.11.2020 - 10:00,поставка материально-технических ресурсов,5908136,https://msp.roseltorg.ru/
600426,600426,http://zakupki.rosneft.ru/node/600426,"ПАО ""НК ""Роснефть"" (ЦА)","Выполнение строительно-монтажных работ по объекту: «Красноленинское НГКМ.Ем-Еговский + Пальяновский, Талинский ЛУ. Строительство и реконструкция ВЛ-6». Лот №1;  Выполнение строительно-монтажных работ по объекту:«Красноленинское НГКМ. Талинский, Каменный ЛУ. Строительство и реконструкцияВЛ-6». Лот№ 2",Запрос оферт,09.11.2020 - 15:14,30.11.2020 - 19:00,строительно-монтажные работы,0.00 руб.,Not specified
600846,600846,http://zakupki.rosneft.ru/node/600846,"ООО ""РН-Транспорт"" филиал в г. Стрежевой","«Запасные части для экскаваторов KOMATSU PC220-7,  РС200-8, РС300-7» для филиала ООО «РН-Транспорт» в г. Стрежевой",Запрос цен,11.11.2020 - 05:45,26.11.2020 - 11:00,поставка материально-технических ресурсов,0.00 руб.,https://rn.tektorg.ru/
600840,КНГ-1782-МТР-2020 (РН),http://zakupki.rosneft.ru/node/600840,"ООО ""Славнефть-Красноярскнефтегаз""",КНГ-1782-МТР-2020 (РН) Поставка материалов геосинтетических,Запрос цен,11.11.2020 - 04:48,25.11.2020 - 14:00,поставка материально-технических ресурсов,0.00 руб.,Not specified
600864,1342-20-ФХД-6,http://zakupki.rosneft.ru/node/600864,"АО ""СвНИИНП""",Лабораторная посуда,Запрос оферт,11.11.2020 - 07:42,02.12.2020 - 16:00,поставка материально-технических ресурсов,НМЦ не объявляется,
600862,ТЮНГД-М-21-90,http://zakupki.rosneft.ru/node/600862,ООО «ТААС-ЮРЯХ НЕФТЕГАЗОДОБЫЧА»,Поставка металлопроката,Запрос оферт,11.11.2020 - 07:18,25.11.2020 - 12:00,прочие услуги,0.00 руб.,Not specified
600868,1342-20-ФХД-9,http://zakupki.rosneft.ru/node/600868,"АО ""СвНИИНП""",Спецодежда (белье нательное),Запрос оферт,11.11.2020 - 07:52,25.11.2020 - 16:00,поставка материально-технических ресурсов,НМЦ не объявляется,
600870,7.9-2020РН,http://zakupki.rosneft.ru/node/600870,"ООО ""Славнефть-Красноярскнефтегаз""",7.9-2020РН Оказание услуг по предоставлению двухпакерной компоновки и инженерному сопровождению работ,Запрос цен,11.11.2020 - 07:55,26.11.2020 - 12:00,прочие услуги,0.00 руб.,https://www.tektorg.ru/rosneft/procedures/541650?lang=ru
600872,600872,http://zakupki.rosneft.ru/node/600872,"ООО ""РН-Ванкор""",С-20-СМР-048. «Посадочная площадка для вертолетов с автодорогой в районе кустовой площадки №2. Сузунского месторождения».,Запрос оферт,11.11.2020 - 08:02,08.12.2020 - 15:00,строительно-монтажные работы,0.00 руб.,Not specified
